City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
92,Cidreira,-30.1811,-50.2056,73.09,81,52,13.04,BR,2021-11-27 16:04:41,broken clouds
93,Amalfi,6.9102,-75.0776,73.83,60,78,3.53,CO,2021-11-27 16:04:42,broken clouds
94,Pacific Grove,36.6177,-121.9166,51.91,50,1,0.0,US,2021-11-27 16:05:42,clear sky
95,Thompson,55.7435,-97.8558,24.22,94,100,9.55,CA,2021-11-27 16:05:42,light snow
96,Waddan,29.1614,16.139,79.99,23,69,9.86,LY,2021-11-27 16:05:43,broken clouds
97,Santa Lucia,27.9117,-15.5407,58.32,68,40,20.71,ES,2021-11-27 16:05:43,scattered clouds
98,Marsh Harbour,26.5412,-77.0636,73.44,70,13,12.17,BS,2021-11-27 16:05:29,few clouds
99,Shenjiamen,29.9576,122.298,60.96,62,87,13.04,CN,2021-11-27 16:05:19,overcast clouds
100,Port Blair,11.6667,92.75,81.07,80,12,10.16,IN,2021-11-27 16:05:44,few clouds
101,West Wendover,40.7391,-114.0733,25.81,68,1,0.0,US,2021-11-27 16:05:44,clear sky
102,Bubaque,11.2833,-15.8333,83.66,60,6,8.39,GW,2021-11-27 16:05:44,clear sky
103,Lebu,-37.6167,-73.65,58.19,67,1,15.64,CL,2021-11-27 16:05:45,clear sky
104,Majene,-3.5403,118.9707,79.47,85,100,3.8,ID,2021-11-27 16:05:45,overcast clouds
105,Faya,18.3851,42.4509,63.12,58,49,4.21,SA,2021-11-27 16:03:49,scattered clouds
106,Lac Du Bonnet,50.2536,-96.0612,26.62,94,96,6.31,CA,2021-11-27 16:05:45,overcast clouds
107,Inhambane,-23.865,35.3833,71.71,56,3,10.42,MZ,2021-11-27 16:05:46,clear sky
108,Kahului,20.8947,-156.47,65.46,72,20,5.75,US,2021-11-27 16:04:35,few clouds
109,Fortuna,40.5982,-124.1573,48.54,100,1,8.05,US,2021-11-27 16:05:46,clear sky
110,Hamilton,39.1834,-84.5333,42.21,49,75,10.36,US,2021-11-27 16:03:47,broken clouds
111,Cape Town,-33.9258,18.4232,68.41,77,75,24.16,ZA,2021-11-27 16:05:46,light intensity shower rain
112,Salalah,17.0151,54.0924,80.69,74,0,2.3,OM,2021-11-27 16:05:47,clear sky
113,Avera,33.194,-82.5271,51.31,33,1,3.85,US,2021-11-27 16:05:47,clear sky
114,Matay,28.419,30.7792,73.83,23,1,5.75,EG,2021-11-27 16:05:47,clear sky
115,Kapaa,22.0752,-159.319,67.98,69,11,7.54,US,2021-11-27 16:02:12,few clouds
116,Geraldton,-28.7667,114.6,64.81,72,0,3.44,AU,2021-11-27 16:05:48,clear sky
117,Tuktoyaktuk,69.4541,-133.0374,-6.12,96,100,16.31,CA,2021-11-27 16:05:48,light snow
118,Urambo,-5.0667,32.05,77.52,54,97,5.46,TZ,2021-11-27 16:05:49,overcast clouds
119,Esperance,-33.8667,121.9,61.65,66,0,15.46,AU,2021-11-27 16:05:49,clear sky
120,Beringovskiy,63.05,179.3167,3.78,95,100,10.31,RU,2021-11-27 16:05:49,overcast clouds
121,Khatanga,71.9667,102.5,-3.28,94,100,16.71,RU,2021-11-27 16:05:50,overcast clouds
122,Mecca,21.4267,39.8261,81.39,58,0,7.31,SA,2021-11-27 16:05:50,clear sky
123,Kaitangata,-46.2817,169.8464,42.96,93,80,5.17,NZ,2021-11-27 16:04:15,broken clouds
124,Upernavik,72.7868,-56.1549,13.53,90,100,3.11,GL,2021-11-27 16:05:50,overcast clouds
125,Carnarvon,-24.8667,113.6333,78.87,47,0,17.27,AU,2021-11-27 16:03:41,clear sky
126,Portales,34.1862,-103.3344,41.99,34,100,7.2,US,2021-11-27 16:05:51,overcast clouds
127,Aldergrove,49.058,-122.4709,47.37,90,100,2.93,CA,2021-11-27 16:05:51,light rain
128,Tiksi,71.6872,128.8694,-9.49,99,90,6.8,RU,2021-11-27 16:05:52,overcast clouds
129,Saint George,37.1041,-113.5841,43.27,35,1,0.0,US,2021-11-27 16:05:52,clear sky
